"Incident.Zip","phase0","phase1","phase2","phase3","phase4","phase5"
10000,74,221,194,116,276,300
10001,4552,2184,5606,7469,5877,3375
10002,7571,4533,10236,11749,11811,6474
10003,7072,3228,7483,9590,8074,5446
10004,1515,329,851,1047,788,427
10005,1576,368,747,947,631,520
10006,500,189,534,513,428,240
10007,2096,627,1285,1382,1516,832
10009,5903,4490,8759,10312,9050,5643
10010,3209,1701,3777,4745,3064,1921
10011,6003,2483,6063,12646,8992,6464
10012,3587,1528,4029,4918,4788,2547
10013,4102,1776,4304,5254,4407,2831
10014,3935,1788,5375,7012,6372,3361
10016,6336,2796,6772,9559,5965,4332
10017,2290,893,1647,2505,2097,1463
10018,2352,819,2639,2649,2044,1481
10019,6220,3435,7101,7925,7380,4690
10020,171,40,63,134,102,64
10021,2293,1336,2709,3077,2493,1923
10022,3732,1409,2954,4194,3148,2494
10023,4856,2255,4879,7573,8818,5732
10024,4626,2418,6137,7980,5729,4450
10025,7187,4505,10282,12890,10044,6803
10026,4590,3479,9610,9466,7971,4720
10027,6627,4589,10852,12866,9909,6781
10028,3086,2086,4981,5438,4257,2696
10029,5920,4642,11461,10673,8487,5339
10030,3770,2568,6143,7415,5274,3468
10031,7747,5878,17206,17116,14165,8205
10032,7559,5866,18658,15123,13318,6916
10033,7251,4627,12087,12853,9914,6116
10034,7656,5563,17156,15422,11589,6102
10035,3982,2771,6626,6720,7089,11759
10036,3813,1798,4333,5402,6732,5093
10037,2062,1598,4782,4844,3393,2260
10038,3394,1366,2354,2726,2149,1481
10039,3516,2449,5201,6992,4937,3004
10040,5069,5061,13542,12119,10317,5452
10041,25,3,25,21,12,7
10044,104,103,174,229,186,107
10045,9,4,4,2,3,3
10048,1,NA,2,1,5,1
10055,4,NA,2,5,2,3
10065,2292,1035,2315,2824,2316,1890
10069,157,97,185,211,254,108
10075,1665,1046,2209,2083,1787,1150
10103,26,3,20,46,21,23
10105,16,9,11,11,23,8
10106,6,7,NA,17,2,3
10107,15,46,2,3,6,2
10110,5,NA,2,11,8,8
10111,9,6,3,12,2,1
10112,13,3,14,16,5,2
10115,2,6,11,5,4,1
10118,24,7,8,25,28,11
10119,43,15,79,38,65,15
10120,38,11,26,31,9,3
10121,175,20,50,76,104,69
10122,5,4,3,5,7,1
10123,12,1,8,6,8,7
10128,3015,2017,3654,4883,3640,2891
10151,14,NA,9,24,23,4
10152,8,2,3,3,NA,5
10153,21,NA,24,40,52,10
10154,15,4,15,7,7,5
10155,4,4,3,9,6,6
10158,4,2,2,5,10,7
10162,17,11,41,55,24,10
10165,17,4,9,8,11,6
10166,1,1,2,3,1,1
10167,3,NA,3,8,5,5
10168,32,14,10,13,14,10
10169,141,73,471,691,434,128
10170,6,1,53,9,1,2
10171,5,4,2,5,3,2
10172,18,3,2,7,12,3
10173,6,2,5,16,41,21
10174,6,5,2,6,3,1
10176,3,3,1,7,3,2
10177,2,3,5,3,3,NA
10178,7,2,12,3,9,2
10179,7,NA,2,NA,1,1
10271,13,5,9,17,10,7
10278,14,11,20,33,65,107
10279,76,6,9,5,6,5
10280,228,153,237,285,270,94
10281,80,11,30,25,43,35
10282,223,124,149,177,258,196
10301,3944,2488,6301,7428,6160,3289
10302,1596,996,2678,2764,2910,1370
10303,1949,1321,3337,3345,3476,1465
10304,3481,2082,6255,6897,5804,2674
10305,2781,1563,4605,4670,4486,2401
10306,4117,2310,6311,6717,7084,3563
10307,801,546,1884,1556,1732,713
10308,1740,948,3075,3208,3540,1463
10309,2671,1379,4172,4471,4375,2218
10310,2417,1431,3890,3886,3995,1681
10312,4371,2527,7827,7920,7492,3456
10314,6597,3435,8761,8924,10489,4380
10451,5332,3901,10342,10273,9151,5945
10452,8578,7443,19292,18834,16163,9073
10453,9277,6380,19559,17529,17653,8801
10454,3754,2690,6264,6250,5621,3220
10455,4312,2989,7581,8435,6292,4278
10456,9015,6346,15569,18179,14938,8624
10457,10701,7875,22885,27235,15299,10608
10458,9181,5692,14261,20477,14877,10686
10459,4705,3666,9089,9864,7440,5206
10460,6614,4413,12998,15370,11489,6963
10461,6103,3796,8112,10320,8264,4856
10462,7478,5289,10481,16631,10626,8597
10463,7261,4867,11545,14208,10813,6822
10464,654,536,1236,1300,1089,549
10465,3900,2761,6221,6384,8003,3161
10466,6695,11047,66779,23536,44913,13067
10467,12136,7747,17632,22210,15882,11243
10468,9536,7260,19809,22148,17631,11050
10469,5515,3074,8784,9631,9022,4920
10470,2107,1255,2696,3270,2675,2345
10471,2042,1235,2754,3091,3230,1838
10472,7062,4459,12652,15193,12658,7239
10473,4769,3285,8920,8208,8214,3980
10474,1930,1444,2945,3495,2902,1469
10475,1128,910,2211,2106,2084,1112
11001,319,142,531,342,474,173
11004,750,402,1510,1060,1025,426
11005,14,8,29,13,30,24
11040,183,117,453,298,198,143
11101,6876,3498,9416,8713,8020,4858
11102,3376,2071,5377,5955,4703,3470
11103,4042,2504,6807,6349,6297,4078
11104,2454,1437,3735,4506,3004,2578
11105,3535,2646,6365,6631,6089,3336
11106,3537,2094,5450,5773,4685,3244
11109,123,175,1053,425,566,120
11201,7536,3954,8659,9724,9547,5729
11203,7279,3776,11080,12843,10874,6785
11204,6382,3509,8569,9641,7395,5679
11205,4156,2826,6372,7808,7239,4644
11206,7407,5095,12025,12433,10616,5835
11207,9094,5865,16457,18351,15706,9056
11208,7678,4992,17180,16793,16973,7544
11209,7499,4272,9502,12058,9278,6863
11210,6083,2951,8745,10418,8522,5287
11211,7035,4347,10742,12024,11229,6891
11212,7472,4416,10671,13324,9815,6099
11213,7141,4412,11341,14399,10350,7031
11214,7853,3867,9183,10710,7858,6277
11215,6598,3320,8342,10814,9702,5903
11216,6703,4356,10968,13101,11490,6345
11217,5391,2795,6397,7539,7415,4397
11218,6412,3617,8790,11313,8278,6308
11219,5439,3084,7563,8180,6170,4151
11220,6743,3944,9991,11951,9746,5991
11221,8924,6361,15699,15917,14371,8222
11222,4961,3188,8260,8652,7727,5007
11223,6966,3403,8561,9693,7916,5892
11224,2022,1728,4029,4053,4624,1918
11225,8247,5313,12235,14687,9898,7667
11226,13843,8904,20056,25800,18107,12399
11228,3557,1992,4771,5071,4340,2371
11229,6143,3760,9999,10562,8375,5780
11230,8306,4391,10498,12872,9145,7293
11231,3196,2051,5276,5607,5117,3157
11232,3384,1843,4163,5286,4745,2747
11233,7418,4396,10470,14074,11903,6066
11234,7494,4188,12854,12624,11097,5605
11235,6521,3785,9783,10244,8370,5826
11236,6035,3254,12500,10705,10717,4870
11237,6572,4312,10623,10328,10322,5357
11238,7172,4485,10427,12573,11539,6214
11239,667,520,1318,1772,1303,1332
11241,2,13,4,7,7,3
11242,3,1,10,5,5,1
11249,3031,2371,7454,5023,5252,2334
11251,6,5,2,8,4,4
11354,4269,2290,5276,5615,5407,2950
11355,5082,2367,6464,8317,6785,4429
11356,2968,1639,4788,5368,5804,2939
11357,3091,1832,5675,5396,5698,2602
11358,2967,1775,4857,4392,4274,2530
11359,5,27,34,13,45,10
11360,859,745,1392,1513,1255,666
11361,2465,1209,3544,3450,3468,1962
11362,1163,630,1824,1506,1493,818
11363,674,531,1377,1167,925,710
11364,2066,1056,3234,3177,3174,2073
11365,2927,1856,4742,5581,5146,3164
11366,3568,1768,8073,8448,10312,6178
11367,2308,1419,4161,4398,3105,2180
11368,6722,4171,12871,13625,13391,7297
11369,3186,1381,4520,4615,4995,2696
11370,1959,1172,3320,2858,2959,1810
11371,11,5,10,2,1,2
11372,4656,3252,8457,8238,6978,4469
11373,7150,3614,9381,10417,9464,6067
11374,3448,2062,4533,8010,5380,3391
11375,4834,2720,7369,7468,6207,4515
11377,6891,3977,10769,12669,10012,6086
11378,4916,2412,6636,7916,7284,4282
11379,3485,1856,5138,6323,6129,3445
11385,13444,7615,18089,20742,16895,10268
11411,1444,771,2676,2161,2353,988
11412,2722,1480,5278,4509,4646,2277
11413,3061,1456,5419,4719,4946,2306
11414,1866,1168,3910,3387,3248,1544
11415,1853,1212,2469,2675,1961,1155
11416,2527,1480,4687,4696,4409,2184
11417,3451,1764,5997,5470,5613,2546
11418,3422,2125,6247,6220,5383,2870
11419,5417,3049,9366,9374,8617,3871
11420,4523,2428,9141,7475,8848,3949
11421,4314,2892,8297,7989,7147,3421
11422,1835,964,3914,3165,3481,1571
11423,2348,1083,3908,3863,3900,2214
11426,1148,650,2445,1773,1976,863
11427,1663,824,2266,2271,2051,1192
11428,1422,787,2573,2064,2199,1179
11429,1856,1100,3280,2672,2997,1286
11430,1328,167,206,425,714,504
11432,5172,2532,8275,8683,8004,5211
11433,3327,1882,6558,6704,6338,2960
11434,4615,2605,8610,7808,7398,3860
11435,4695,2600,7368,7554,7179,3848
11436,2042,1053,3613,3377,3331,1618
11691,4770,2446,6165,7874,5311,3760
11692,1457,858,2146,2599,1947,1113
11693,859,699,2287,2017,2103,833
11694,2121,1237,3969,3378,3501,1394
11695,7,25,17,13,10,4
11697,37,61,172,68,92,18
12345,16,6,25,16,38,4
